[I 2024-03-23 10:04:40,835] A new study created in memory with name: no-name-592f1f44-dbdf-4fd1-af17-1dc5a5448f2b
[I 2024-03-23 10:24:50,608] Trial 58 finished with value: 3.793864567279816 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:25:08,805] Trial 59 finished with value: 3.8298878987630203 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:25:17,590] Trial 60 finished with value: 3.6785462379455565 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:25:46,472] Trial 61 finished with value: 3.923308900992076 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:25:51,287] Trial 62 finished with value: 3.9142100334167482 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:26:22,899] Trial 63 finished with value: 3.758459972143173 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:26:51,851] Trial 64 finished with value: 3.7522490342458092 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:27:00,476] Trial 65 finished with value: 3.816099945704142 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:27:32,719] Trial 66 finished with value: 3.734233260154724 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:27:58,509] Trial 67 finished with value: 3.688308892647426 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 43 with value: 3.6479559755325317.
[I 2024-03-23 10:28:08,055] Trial 68 finished with value: 4.014875584840775 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 43 with value: 3.6479559755325317.
