[I 2024-03-20 22:28:17,354] Trial 39 finished with value: 3.8632649779319763 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:29:10,612] Trial 40 finished with value: 4.407932233810425 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:30:03,495] Trial 41 finished with value: 3.7394185781478884 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:30:56,190] Trial 42 finished with value: 3.936535453796387 and parameters: {'lr': 0.0001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:31:49,145] Trial 43 finished with value: 4.605638575553894 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:32:41,831] Trial 44 finished with value: 3.7855045795440674 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:33:34,542] Trial 45 finished with value: 3.8409620940685274 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:34:27,463] Trial 46 finished with value: 4.077836894989014 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:35:28,388] Trial 47 finished with value: 4.3904780069986975 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:36:21,125] Trial 48 finished with value: 3.5931885600090028 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:37:14,006] Trial 49 finished with value: 4.2880932807922365 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:38:11,838] Trial 50 finished with value: 3.867267668247223 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:39:05,053] Trial 51 finished with value: 3.9934465885162354 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:39:58,626] Trial 52 finished with value: 3.699099361896515 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:40:52,118] Trial 53 finished with value: 3.5275241494178773 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:41:45,798] Trial 54 finished with value: 3.938000130653381 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:42:39,539] Trial 55 finished with value: 4.250425386428833 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:43:33,433] Trial 56 finished with value: 4.880140900611877 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:44:21,665] Trial 57 finished with value: 4.760959601402282 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:45:13,928] Trial 58 finished with value: 3.471295416355133 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:46:06,449] Trial 59 finished with value: 4.499448490142822 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:47:21,430] Trial 60 finished with value: 4.052953188419343 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:48:13,891] Trial 61 finished with value: 4.343397808074951 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:49:07,138] Trial 62 finished with value: 4.160577940940857 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:50:00,498] Trial 63 finished with value: 3.846522855758667 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:50:53,976] Trial 64 finished with value: 4.430733847618103 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:51:47,513] Trial 65 finished with value: 3.8452408075332642 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:52:46,099] Trial 66 finished with value: 4.03748779296875 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 300}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:53:40,005] Trial 67 finished with value: 3.4225834012031555 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:54:34,317] Trial 68 finished with value: 3.7781038761138914 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:55:28,656] Trial 69 finished with value: 4.421524178981781 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:56:29,165] Trial 70 finished with value: 4.1885331439971925 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:57:23,878] Trial 71 finished with value: 3.9009665727615355 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:58:19,672] Trial 72 finished with value: 3.4520442843437196 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 22:59:14,655] Trial 73 finished with value: 3.7830059707164763 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:00:07,832] Trial 74 finished with value: 4.1312513709068295 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:01:00,866] Trial 75 finished with value: 3.6775925159454346 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:01:54,170] Trial 76 finished with value: 4.367961978912353 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:02:47,201] Trial 77 finished with value: 3.931928563117981 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:03:42,222] Trial 78 finished with value: 3.574778425693512 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:04:43,393] Trial 79 finished with value: 4.038407683372498 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:05:37,660] Trial 80 finished with value: 3.477662909030914 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:06:32,357] Trial 81 finished with value: 4.684328579902649 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:07:27,151] Trial 82 finished with value: 3.886002206802368 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:08:22,108] Trial 83 finished with value: 3.710770833492279 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:09:16,984] Trial 84 finished with value: 3.502324080467224 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:10:12,001] Trial 85 finished with value: 4.034003233909607 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:11:06,840] Trial 86 finished with value: 3.767866402864456 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:12:08,850] Trial 87 finished with value: 3.9087186050415044 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:13:03,969] Trial 88 finished with value: 4.005735564231872 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:14:07,520] Trial 89 finished with value: 4.084966039657592 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 8, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:15:00,384] Trial 90 finished with value: 3.9848148256540297 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:15:53,538] Trial 91 finished with value: 4.481244504451752 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:16:45,807] Trial 92 finished with value: 3.9332214474678038 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:17:35,251] Trial 93 finished with value: 4.102314519882202 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:18:24,674] Trial 94 finished with value: 3.2766265749931334 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:19:14,027] Trial 95 finished with value: 3.8647374153137206 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:20:02,419] Trial 96 finished with value: 4.0152190804481505 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:20:51,648] Trial 97 finished with value: 4.501588702201843 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:21:46,189] Trial 98 finished with value: 3.683094620704651 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:22:34,697] Trial 99 finished with value: 3.559406054019928 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:23:23,913] Trial 100 finished with value: 4.090940475463867 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:24:12,476] Trial 101 finished with value: 4.1119731903076175 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:25:01,067] Trial 102 finished with value: 3.82476863861084 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:25:49,637] Trial 103 finished with value: 3.6262160181999206 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:26:38,161] Trial 104 finished with value: 4.426606619358063 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
[I 2024-03-20 23:27:26,841] Trial 105 finished with value: 3.6162073731422426 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 31 with value: 3.2313635885715484.
