[I 2024-03-21 23:02:16,528] A new study created in memory with name: no-name-ec2b763e-7aef-4c6c-bf8c-f5bebffa5c7d
[I 2024-03-22 00:23:37,808] Trial 74 finished with value: 0.4104639189680741 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:24:36,668] Trial 75 finished with value: 0.3652627489469594 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:25:33,457] Trial 76 finished with value: 0.3902232854864434 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 8, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:26:31,653] Trial 77 finished with value: 0.3767878513136783 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:27:47,274] Trial 78 finished with value: 0.36788331415836717 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 8, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:29:09,818] Trial 79 finished with value: 0.3752867464583286 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:30:29,311] Trial 80 finished with value: 0.38413708790440093 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:32:06,238] Trial 81 finished with value: 0.3923342670401494 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:32:56,940] Trial 82 finished with value: 0.3749060300046124 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 256, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:33:48,242] Trial 83 finished with value: 0.37612507927319727 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:34:53,008] Trial 84 finished with value: 0.36959469359420477 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 300}. Best is trial 0 with value: 0.4249171880750827.
[I 2024-03-22 00:35:43,406] Trial 85 finished with value: 0.37769031829973654 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 100}. Best is trial 0 with value: 0.4249171880750827.
