[I 2024-03-22 22:45:58,169] Trial 59 finished with value: 0.5747457224758838 and parameters: {'lr': 0.0001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:47:00,020] Trial 60 finished with value: 0.59675698914089 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 512, 'batch_size': 4, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:47:20,557] Trial 61 finished with value: 0.5806203844496169 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 1024, 'batch_size': 8, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:47:43,775] Trial 62 finished with value: 0.5858306128177401 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:48:43,206] Trial 63 finished with value: 0.6062227968110321 and parameters: {'lr': 5e-05, 'h1': 256, 'h2': 256, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:49:30,130] Trial 64 finished with value: 0.6297104391996032 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:50:05,804] Trial 65 finished with value: 0.5855743778246629 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 1024, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:50:37,534] Trial 66 finished with value: 0.6076571519295978 and parameters: {'lr': 5e-05, 'h1': 512, 'h2': 512, 'batch_size': 16, 'num_epochs': 300}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:51:02,466] Trial 67 finished with value: 0.6026671096542369 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 1024, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:51:23,534] Trial 68 finished with value: 0.5858872125647423 and parameters: {'lr': 0.001, 'h1': 1024, 'h2': 512, 'batch_size': 16, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:52:17,419] Trial 69 finished with value: 0.5863182431603484 and parameters: {'lr': 0.0001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:52:48,055] Trial 70 finished with value: 0.6030714933501311 and parameters: {'lr': 0.001, 'h1': 256, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:53:48,388] Trial 71 finished with value: 0.5780588451795883 and parameters: {'lr': 5e-05, 'h1': 1024, 'h2': 256, 'batch_size': 4, 'num_epochs': 200}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:54:04,331] Trial 72 finished with value: 0.5951489157738139 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 512, 'batch_size': 8, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:54:15,864] Trial 73 finished with value: 0.6344058418361824 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 1024, 'batch_size': 16, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
[I 2024-03-22 22:54:49,711] Trial 74 finished with value: 0.6376692450995856 and parameters: {'lr': 0.001, 'h1': 512, 'h2': 256, 'batch_size': 4, 'num_epochs': 100}. Best is trial 56 with value: 0.6472386230900163.
